request,response,infra.grpc.handler,QueryCard,"verifyCard: match cardNo local, <:cardNo:> <:transactionID:> <:spanID:>","CardQuery <:*:> channel, <:cardNo:> <:transactionID:> <:spanID:>",call by <:*:> fn:QueryCard call cost:<:NUM:> <:traceID:> <:transactionID:> <:spanID:>,CardQuery <:*:> <:<:resp:>,"verifyCardLocal: s.dao.GetCard failed, err=sql: no rows in result set <:traceID:> <:transactionID:> <:spanID:>","verifyCard: match cardNo by channel, <:cardNo:> valid=<:STATUS:>, <:cardBin:>",verifyCard: <:cardNo:> Yrouter:<:STATUS:> <:traceID:> <:transactionID:> <:spanID:>,verifyCard: <:cardNo:> <:<:resp:>,need retry pre call <:*:> err:card is invalid <:traceID:> <:transactionID:> <:spanID:>,sendPostRequest huaDao <:<:resp:>,"s.MatchByNameAndNo failed, errCode=<:NUM:>, <:cardNo:> <:*:> <:traceID:> <:transactionID:> <:spanID:>",<:ChineseInfo:>，cardNo:<:SEQ:> <:resp:>,buildBinMap: get bins count=<:NUM:>,syncCardBin: get card bin <:MAP:>,huaDaoCardQuery <:*:> err:&{<:NUM:> <:ChineseInfo:>} <:traceID:> <:transactionID:> <:spanID:>,timestamp,unknown
5152,5152,612,1828,92,1364,1368,1368,308,308,308,312,1320,268,324,208,48,48,48,2023-08-31 20:12:41,8
5064,5064,768,900,516,228,228,228,148,148,148,148,100,36,24,16,48,48,4,2023-08-31 20:14:41,0
5192,5192,200,104,44,28,28,28,28,28,28,28,0,4,0,0,48,48,0,2023-08-31 20:16:41,0
5184,5184,268,168,44,52,52,52,52,52,52,52,0,4,16,0,48,48,0,2023-08-31 20:18:41,32
5188,5188,348,624,120,372,368,368,124,124,124,120,308,60,72,40,48,48,8,2023-08-31 20:20:41,12
5156,5156,572,1740,64,1332,1336,1336,284,284,284,288,1312,272,320,204,48,48,52,2023-08-31 20:22:41,8
5100,5100,2540,2880,2076,412,412,412,392,392,392,392,24,64,4,8,48,48,0,2023-08-31 20:24:41,0
5176,5176,2892,3216,2308,444,444,444,444,444,444,444,0,56,16,0,48,48,0,2023-08-31 20:26:41,32
5180,5180,2124,2468,1684,392,392,392,392,392,392,392,0,36,0,0,48,48,0,2023-08-31 20:28:41,0
5152,5152,2376,2632,1832,404,396,396,404,404,404,396,0,40,0,0,48,48,0,2023-08-31 20:30:41,0
5192,5192,2304,2548,1612,472,480,480,456,456,456,464,20,76,4,4,48,48,0,2023-08-31 20:32:41,0
5196,5196,1836,2116,1344,388,388,388,384,384,384,384,4,48,0,4,48,48,0,2023-08-31 20:34:41,0
5088,5088,2176,2544,1600,488,488,488,452,452,452,452,44,60,8,4,48,48,8,2023-08-31 20:36:41,0
5180,5180,2240,2528,1708,420,416,416,404,404,404,400,20,52,4,4,48,48,0,2023-08-31 20:38:41,0
5148,5148,2572,2748,1992,376,380,380,376,376,376,380,0,32,0,0,48,48,0,2023-08-31 20:40:41,0
5176,5176,2588,2852,2012,420,420,420,420,420,420,420,0,52,0,0,48,48,0,2023-08-31 20:42:41,0
5080,5080,2176,2476,1596,440,440,440,440,440,440,440,0,64,0,0,48,48,0,2023-08-31 20:44:41,0
5184,5184,2208,2496,1692,400,400,400,400,400,400,400,0,56,0,0,48,48,0,2023-08-31 20:46:41,0
5184,5184,2268,2480,1632,424,424,424,424,424,424,424,0,48,0,0,48,48,0,2023-08-31 20:48:41,0
3885,3885,1791,1917,1386,267,267,267,264,264,264,264,3,45,0,3,36,36,0,2023-08-31 20:50:41,0
3807,3807,1647,1812,1230,291,291,291,291,291,291,291,0,33,0,0,36,36,0,2023-08-31 20:52:41,3
3897,3897,168,105,39,33,33,33,33,33,33,33,0,9,0,0,36,36,0,2023-08-31 20:54:41,0
3885,3885,246,126,33,45,45,45,45,45,45,45,0,12,0,0,36,36,0,2023-08-31 20:56:41,0
3882,3882,348,873,54,648,645,645,153,153,153,150,618,132,144,102,36,36,18,2023-08-31 20:58:41,6
3891,3891,831,1521,480,738,741,741,270,270,270,273,585,138,147,87,36,36,30,2023-08-31 21:00:41,0
3777,3777,1779,1995,1359,312,312,312,312,312,312,312,0,48,12,0,36,36,0,2023-08-31 21:02:41,24
3888,3888,1497,1746,1143,315,315,315,288,288,288,288,33,45,6,3,36,36,6,2023-08-31 21:04:41,0
3900,3900,1818,2070,1449,312,309,309,312,312,312,309,0,51,0,0,36,36,0,2023-08-31 21:06:41,0
3900,3900,1698,1902,1332,282,285,285,282,282,282,285,0,42,0,0,36,36,0,2023-08-31 21:08:41,0
3876,3876,2019,2286,1590,348,348,348,348,348,348,348,0,57,0,0,36,36,0,2023-08-31 21:10:41,0
3792,3792,1668,1872,1290,291,291,291,291,291,291,291,0,36,0,0,36,36,0,2023-08-31 21:12:41,0
3891,3891,1821,2040,1497,273,273,273,270,270,270,270,3,48,0,3,36,36,0,2023-08-31 21:14:41,0
3888,3888,228,168,54,63,63,63,51,51,51,51,15,15,3,3,36,36,0,2023-08-31 21:16:41,0
3888,3888,177,66,33,15,15,15,15,15,15,15,0,6,0,0,36,36,0,2023-08-31 21:18:41,0
3894,3894,276,768,48,567,564,564,135,135,135,132,540,108,129,87,36,36,15,2023-08-31 21:20:41,6
3795,3795,918,1605,528,780,783,783,264,264,264,267,645,150,159,99,36,36,30,2023-08-31 21:22:41,0
3891,3891,1602,1839,1245,297,297,297,297,297,297,297,0,45,0,0,36,36,0,2023-08-31 21:24:41,0
3885,3885,1929,2061,1485,288,288,288,288,288,288,288,0,42,0,0,36,36,0,2023-08-31 21:26:41,0
3888,3888,1749,1917,1410,252,252,252,252,252,252,252,0,30,0,0,36,36,0,2023-08-31 21:28:41,0
3897,3897,1890,2091,1494,300,297,297,300,300,300,297,0,51,0,0,36,36,0,2023-08-31 21:30:41,0
3777,3777,1614,1824,1215,303,306,306,303,303,303,306,0,36,0,0,36,36,0,2023-08-31 21:32:41,0
3894,3894,1581,1797,1227,291,291,291,279,279,279,279,15,39,3,3,36,36,0,2023-08-31 21:34:41,0
3888,3888,1659,1833,1272,282,279,279,282,282,282,279,0,24,0,0,36,36,0,2023-08-31 21:36:41,0
3885,3885,1422,1674,1089,297,300,300,285,285,285,288,15,45,3,0,36,36,3,2023-08-31 21:38:41,0
3894,3894,1704,1944,1371,285,285,285,285,285,285,285,0,39,0,0,36,36,0,2023-08-31 21:40:41,0
3873,3873,1749,1893,1374,261,258,258,261,261,261,258,0,21,0,0,36,36,0,2023-08-31 21:42:41,0
3891,3891,393,417,270,72,75,75,72,72,72,75,0,18,0,0,36,36,0,2023-08-31 21:44:41,0
3810,3810,189,105,57,24,24,24,24,24,24,24,0,0,0,0,36,36,0,2023-08-31 21:46:41,0
3894,3894,216,462,39,324,321,321,84,84,84,81,300,69,78,48,36,36,6,2023-08-31 21:48:41,6
3870,3870,477,1338,123,942,945,945,234,234,234,237,885,186,210,138,36,36,39,2023-08-31 21:50:41,0
3894,3894,1773,1977,1350,315,312,312,315,315,315,312,0,30,0,0,36,36,0,2023-08-31 21:52:41,0
3891,3891,1674,1854,1356,249,252,252,246,246,246,249,3,24,0,3,36,36,0,2023-08-31 21:54:41,0
3816,3816,1503,1710,1140,285,285,285,285,285,285,285,0,36,0,0,36,36,0,2023-08-31 21:56:41,0
3885,3885,1743,2010,1383,315,312,312,315,315,315,312,0,54,0,0,36,36,0,2023-08-31 21:58:41,0
3864,3864,1506,1743,1170,285,288,288,282,282,282,285,3,36,0,3,36,36,0,2023-08-31 22:00:41,0
3882,3882,1785,1902,1362,270,270,270,270,270,270,270,0,33,0,0,36,36,0,2023-08-31 22:02:41,0
3912,3912,1512,1659,1161,249,249,249,249,249,249,249,0,42,0,0,36,36,0,2023-08-31 22:04:41,0
3804,3804,1824,2007,1464,273,270,270,273,273,273,270,0,48,0,0,36,36,0,2023-08-31 22:06:41,0
3888,3888,1710,1902,1359,270,273,273,270,270,270,273,0,30,0,0,36,36,0,2023-08-31 22:08:41,0
3882,3882,1824,2046,1464,288,288,288,288,288,288,288,0,30,0,0,36,36,0,2023-08-31 22:10:41,0
3885,3885,1821,2001,1398,303,303,303,303,303,303,303,0,39,0,0,36,36,0,2023-08-31 22:12:41,0
3894,3894,1887,2052,1551,252,252,252,249,249,249,249,3,24,0,3,36,36,0,2023-08-31 22:14:41,0
3801,3801,1746,1875,1317,279,279,279,279,279,279,279,0,30,0,0,36,36,0,2023-08-31 22:16:41,0
3888,3888,1998,2214,1659,279,276,276,279,279,279,276,0,27,0,0,36,36,0,2023-08-31 22:18:41,0
3891,3891,1755,1995,1422,300,303,303,267,267,267,270,39,45,6,9,36,36,0,2023-08-31 22:20:41,3
3861,3861,1794,1926,1389,270,270,270,267,267,267,267,3,30,0,3,36,36,0,2023-08-31 22:22:41,0
3912,3912,1824,2046,1485,282,279,279,282,282,282,279,0,39,0,0,36,36,0,2023-08-31 22:24:41,0
3807,3807,1848,1878,1383,246,249,249,246,246,246,249,0,33,0,0,36,36,0,2023-08-31 22:26:41,0
3849,3849,552,453,240,123,123,123,87,87,87,87,45,9,12,0,36,36,9,2023-08-31 22:28:41,0
3894,3894,171,102,27,36,36,36,36,36,36,36,0,3,0,0,36,36,0,2023-08-31 22:30:41,0
3873,3873,255,558,33,408,408,408,96,96,96,96,390,81,99,60,36,36,12,2023-08-31 22:32:41,6
3888,3888,531,1371,231,879,879,879,231,231,231,231,810,177,192,126,36,36,33,2023-08-31 22:34:41,3
3885,3885,1773,2031,1437,303,303,303,291,291,291,291,15,39,3,3,36,36,0,2023-08-31 22:36:41,0
3804,3804,1833,2061,1485,288,288,288,288,288,288,288,0,48,0,0,36,36,0,2023-08-31 22:38:41,0
3867,3867,1821,2070,1515,282,282,282,270,270,270,270,15,45,3,0,36,36,3,2023-08-31 22:40:41,0
3891,3891,1866,2013,1551,231,231,231,231,231,231,231,0,33,0,0,36,36,0,2023-08-31 22:42:41,0
3903,3903,1770,2007,1425,309,309,309,273,273,273,273,45,39,9,6,36,36,3,2023-08-31 22:44:41,0
3888,3888,1863,2031,1479,276,276,276,276,276,276,276,0,39,0,0,36,36,0,2023-08-31 22:46:41,0
3801,3801,1920,2103,1563,270,270,270,270,270,270,270,0,36,0,0,36,36,0,2023-08-31 22:48:41,0
3897,3897,1926,2169,1518,330,330,330,318,318,318,318,15,42,3,0,36,36,3,2023-08-31 22:50:41,0
3864,3864,1863,2043,1545,249,249,249,249,249,249,249,0,36,0,0,36,36,0,2023-08-31 22:52:41,0
3897,3897,1926,2085,1608,240,240,240,237,237,237,237,3,24,0,3,36,36,0,2023-08-31 22:54:41,0
3807,3807,2124,2331,1761,291,291,291,279,279,279,279,15,42,3,0,36,36,3,2023-08-31 22:56:41,0
3888,3888,1872,2055,1590,234,234,234,231,231,231,231,3,33,0,3,36,36,0,2023-08-31 22:58:41,0
