parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,GetSupervisorPosition success,timestamp,unknown
10306,10306,10306,10306,4072,48,291,48,48,262,4072,29,48,238,238,236,48,48,48,291,29,26,26,2,2,2,2,2,2,2,2,2,0,2023-11-28 10:00:00,1
10299,10299,10299,10299,4063,48,300,48,48,263,4063,37,48,239,239,238,48,48,48,300,37,27,27,3,3,1,3,3,2,2,2,2,0,2023-11-28 10:02:00,5
10312,10310,10310,10310,4074,48,293,48,48,263,4074,30,48,237,237,236,48,48,48,293,30,28,28,4,4,1,4,4,4,2,2,2,0,2023-11-28 10:04:00,3
10312,10314,10314,10314,4073,48,298,48,48,261,4073,37,48,241,241,238,48,48,48,298,37,26,26,2,2,2,2,2,2,2,2,2,1,2023-11-28 10:06:00,3
10322,10321,10321,10321,4078,48,297,48,48,262,4078,35,48,237,237,236,48,48,48,297,35,26,26,2,2,0,2,2,2,2,2,2,1,2023-11-28 10:08:00,0
10325,10326,10326,10326,4072,47,303,47,47,263,4072,40,47,242,242,239,47,47,47,303,40,27,27,3,3,2,3,3,3,2,2,2,1,2023-11-28 10:10:00,3
10247,10244,10244,10244,4047,45,308,45,45,261,4047,47,45,234,234,234,45,45,45,308,47,28,28,4,4,0,4,4,4,2,2,2,0,2023-11-28 10:12:00,7
10339,10342,10342,10342,4090,48,296,48,48,262,4090,34,48,239,239,238,48,48,48,296,34,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 10:14:00,4
10324,10323,10323,10323,4079,48,297,48,48,264,4079,33,48,238,238,237,48,48,48,297,33,28,28,3,2,1,2,2,2,2,2,2,0,2023-11-28 10:16:00,4
10324,10325,10325,10325,4077,48,305,48,48,264,4077,41,48,238,238,237,48,48,48,305,41,29,29,5,5,0,5,5,4,2,2,2,1,2023-11-28 10:18:00,23
10319,10318,10318,10318,4082,48,291,48,48,262,4082,29,48,237,237,237,48,48,48,291,29,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 10:20:00,12
10292,10292,10292,10292,4062,48,292,48,48,261,4062,31,48,238,238,237,48,48,48,292,31,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-28 10:22:00,6
10318,10315,10315,10315,4079,48,298,48,48,267,4079,31,48,241,241,238,48,48,48,298,31,30,30,5,4,2,4,4,4,2,2,2,1,2023-11-28 10:24:00,6
10309,10313,10313,10313,4066,48,305,48,48,261,4066,44,48,240,240,238,48,48,48,305,44,26,26,2,2,1,2,2,2,2,2,2,1,2023-11-28 10:26:00,0
10290,10289,10289,10289,4064,48,300,48,48,262,4064,38,48,240,240,237,48,48,48,300,38,27,27,3,3,3,3,3,2,2,2,2,0,2023-11-28 10:28:00,1
10325,10325,10325,10325,4085,48,302,48,48,262,4085,40,48,236,236,236,48,48,48,302,40,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 10:30:00,0
10295,10296,10296,10296,4069,48,291,48,48,264,4069,27,48,240,240,238,48,48,48,291,27,28,28,4,4,2,4,4,4,2,2,2,0,2023-11-28 10:32:00,0
10311,10312,10311,10311,4067,48,304,48,48,262,4067,42,48,236,236,236,48,48,48,304,42,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 10:34:00,5
5125,5127,5125,5125,2015,24,179,24,24,144,2015,35,24,126,126,123,24,24,24,179,35,27,27,3,3,2,3,3,3,2,2,2,1,2023-11-28 10:36:00,4
25,26,25,25,0,0,52,0,0,28,0,24,0,1,1,0,0,0,0,52,24,28,28,4,4,0,4,4,4,2,2,2,1,2023-11-28 10:38:00,6
24,25,24,24,0,0,49,0,0,26,0,23,0,1,1,0,0,0,0,49,23,26,26,2,2,0,2,2,2,2,2,2,1,2023-11-28 10:40:00,2
39,41,39,39,0,0,63,0,0,26,0,37,0,2,2,0,0,0,0,63,37,26,26,2,2,2,2,2,2,2,2,2,0,2023-11-28 10:42:00,9
23,24,23,23,0,0,51,0,0,29,0,22,0,1,1,0,0,0,0,51,22,29,29,5,5,1,5,5,4,2,2,2,0,2023-11-28 10:44:00,7
36,39,36,36,0,0,60,0,0,26,0,34,0,2,2,0,0,0,0,60,34,26,26,2,2,2,2,2,2,2,2,2,0,2023-11-28 10:46:00,9
34,38,34,34,0,0,60,0,0,26,0,34,0,0,0,0,0,0,0,60,34,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-28 10:48:00,10
41,45,41,41,0,0,66,0,0,28,0,38,0,3,3,0,0,0,0,66,38,28,28,4,4,1,4,4,4,2,2,2,2,2023-11-28 10:50:00,8
35,37,35,35,0,0,55,0,0,26,0,29,0,6,6,0,0,0,0,55,29,26,26,2,2,5,2,2,2,2,2,2,1,2023-11-28 10:52:00,4
