parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags,getPermTagsAndValues <:*:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,msg,no need compute team member perm,Response=<:MAP:>,message,approve callback start,svc.ApproveCallback failed,approve status error,superiorAndDeputy empty,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,strconv.ParseIn<:updateFanweiEmployee failed:>,getBackupEm<:updateFanweiEmployee failed:>,callback status error,timestamp,unknown
5671,5671,5671,5671,2024,106,304,106,222,2024,82,106,194,194,194,106,106,304,82,28,28,0,106,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 13:00:00,0
5617,5617,5617,5617,2007,89,589,89,212,2007,377,89,194,194,194,89,89,589,377,30,30,0,89,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 13:02:00,0
5655,5655,5655,5655,2018,100,308,100,227,2018,81,100,177,177,177,100,100,308,81,28,28,0,100,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 13:04:00,0
5661,5661,5661,5661,2022,91,292,91,220,2022,72,91,184,184,184,91,91,292,72,27,27,0,91,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:06:00,0
5627,5623,5623,5623,2033,90,244,90,211,2033,33,90,187,187,187,90,90,244,33,28,28,0,90,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 13:08:00,0
5670,5674,5674,5674,2029,102,268,102,217,2029,51,102,191,191,191,102,102,268,51,30,30,0,102,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 13:10:00,0
5640,5641,5641,5641,2017,92,307,92,226,2017,81,92,183,183,183,92,92,307,81,27,27,0,92,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:12:00,0
5616,5613,5613,5613,2007,91,293,91,225,2007,68,91,190,190,190,91,91,293,68,28,28,0,91,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 13:14:00,0
5653,5655,5655,5655,2031,100,281,100,214,2031,67,100,182,182,182,100,100,281,67,31,31,0,100,7,7,7,7,7,0,2,2,2,0,0,0,2023-12-17 13:16:00,0
5605,5606,5606,5606,2001,81,312,81,220,2001,92,81,182,182,182,81,81,312,92,27,27,0,81,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:18:00,0
5657,5657,5657,5657,2023,88,288,88,211,2023,77,88,192,192,192,88,88,288,77,27,27,0,88,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:20:00,0
5604,5604,5604,5604,2012,88,281,88,213,2012,68,88,197,197,197,88,88,281,68,28,28,0,88,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 13:22:00,0
5673,5673,5673,5673,2022,88,298,88,227,2022,71,88,186,186,186,88,88,298,71,30,30,0,88,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 13:24:00,0
5621,5620,5620,5620,2016,88,270,88,207,2016,63,88,191,191,191,88,88,270,63,28,28,0,88,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 13:26:00,0
5640,5661,5641,5641,2017,94,293,94,208,2017,85,94,186,186,186,94,94,293,85,27,27,0,94,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:28:00,0
5620,5618,5618,5618,2029,100,267,100,207,2029,60,100,176,176,176,100,100,267,60,28,28,0,100,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 13:30:00,0
5629,5630,5630,5630,2017,85,271,85,203,2017,68,85,192,192,192,85,85,271,68,30,30,0,85,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 13:32:00,0
5609,5610,5610,5610,2020,95,250,95,207,2020,43,95,181,181,181,95,95,250,43,28,28,0,95,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 13:34:00,0
5632,5632,5632,5632,2035,90,251,90,205,2035,46,90,186,186,186,90,90,251,46,27,27,0,90,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:36:00,0
5621,5621,5621,5621,2015,93,286,93,218,2015,68,93,187,187,187,93,93,286,68,31,31,0,93,7,7,7,7,7,0,2,2,2,0,0,0,2023-12-17 13:38:00,0
5596,5595,5595,5595,2003,86,290,86,222,2003,68,86,182,182,182,86,86,290,68,27,27,0,86,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:40:00,0
5636,5636,5636,5636,2006,93,301,92,215,2006,86,92,189,189,189,92,92,301,86,28,28,0,92,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 13:42:00,0
5624,5625,5625,5625,2020,86,286,87,205,2020,81,87,184,184,184,87,87,286,81,27,27,0,87,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:44:00,0
5638,5638,5638,5638,2028,82,271,82,208,2028,63,82,183,183,183,82,82,271,63,30,30,0,82,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 13:46:00,0
5647,5645,5645,5645,2024,99,284,99,215,2024,69,99,184,184,184,99,99,284,69,28,28,0,99,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 13:48:00,0
5651,5650,5650,5650,2029,85,280,85,213,2029,67,85,181,181,181,85,85,280,67,27,27,0,85,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:50:00,0
5645,5648,5648,5648,2018,93,294,93,210,2018,84,93,187,187,187,93,93,294,84,31,31,0,93,7,7,7,7,7,0,2,2,2,0,0,0,2023-12-17 13:52:00,0
5654,5653,5653,5653,2020,91,267,91,205,2020,62,91,183,183,183,91,91,267,62,27,27,0,91,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:54:00,0
5630,5631,5631,5631,2023,100,266,100,204,2023,62,100,178,178,178,100,100,266,62,28,28,0,100,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 13:56:00,0
5690,5690,5690,5690,2025,97,291,97,210,2025,81,97,182,182,182,97,97,291,81,27,27,0,97,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 13:58:00,0
5671,5669,5669,5669,2022,89,292,89,226,2022,66,89,188,188,188,89,89,292,66,31,31,0,89,7,7,7,7,6,0,2,2,2,0,0,1,2023-12-17 14:00:00,0
5636,5638,5638,5638,2017,91,592,91,218,2017,374,91,182,182,182,91,91,592,374,27,27,0,91,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 14:02:00,0
5628,5628,5628,5628,2018,92,379,92,213,2018,166,92,189,189,189,92,92,379,166,28,28,0,92,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 14:04:00,0
5625,5624,5624,5624,2009,100,280,100,226,2009,54,100,189,189,189,100,100,280,54,30,30,0,100,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 14:06:00,0
5609,5610,5610,5610,2015,93,263,93,211,2015,52,93,177,177,177,93,93,263,52,28,28,0,93,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 14:08:00,0
5629,5628,5628,5628,2020,87,261,87,208,2020,53,87,195,195,195,87,87,261,53,27,27,0,87,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 14:10:00,0
5666,5667,5667,5667,2025,103,276,103,210,2025,66,103,188,188,188,103,103,276,66,28,28,0,103,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 14:12:00,0
5650,5649,5649,5649,2027,93,284,93,217,2027,67,93,178,178,178,93,93,284,67,30,30,0,93,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 14:14:00,0
5653,5653,5653,5653,2017,101,282,101,217,2017,65,101,193,193,193,101,101,282,65,27,27,0,101,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 14:16:00,0
5668,5668,5667,5667,2021,90,307,90,215,2021,92,90,191,191,191,90,90,307,92,28,28,0,90,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 14:18:00,0
5644,5646,5646,5646,2024,92,263,92,214,2024,49,92,180,180,180,92,92,263,49,30,30,0,92,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 14:20:00,0
5667,5667,5667,5667,2016,95,299,95,213,2016,86,95,190,190,190,95,95,299,86,28,28,0,95,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 14:22:00,0
5636,5636,5636,5636,2022,96,277,96,213,2022,64,96,194,194,194,96,96,277,64,27,27,0,96,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 14:24:00,0
5657,5676,5656,5656,2028,89,286,89,211,2028,75,89,181,181,181,89,89,286,75,28,28,0,89,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 14:26:00,0
5617,5618,5618,5618,2015,87,287,87,225,2015,62,87,183,183,183,87,87,287,62,30,30,0,87,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 14:28:00,0
5610,5609,5609,5609,2006,92,270,92,213,2006,57,92,181,181,181,92,92,270,57,27,27,0,92,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 14:30:00,0
5677,5677,5677,5677,2029,93,305,93,231,2029,74,93,184,184,184,93,93,305,74,27,27,0,93,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 14:32:00,0
5643,5644,5644,5644,2018,94,282,94,229,2018,53,94,190,190,190,94,94,282,53,31,31,0,94,7,7,7,7,6,0,2,2,2,0,0,1,2023-12-17 14:34:00,0
5649,5649,5649,5649,2019,94,277,94,209,2019,68,94,185,185,185,94,94,277,68,27,27,0,94,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 14:36:00,0
