csvname,anomaly_timestamp,Z_value_1,Z_value_2,Z_value_3,Z_value_4,Z_value_5,Z_value_6,Z_value_7,Z_value_8,Z_value_9,Z_value_10,Z_value_11,Z_value_12,Z_value_13,Z_value_14,Z_value_15,Z_value_16,Z_value_17,Z_value_18,Z_value_19,Z_value_20,Z_value_21,Z_value_22,Z_value_23,Z_value_24,Z_value_25,Z_value_26,Z_value_27,Z_value_28,Z_value_29,Z_value_30
ad921d60486366258809553a3db49a4a,1701225960,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,11.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,3.0,4.0,3.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701226080,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,4.0,3.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701226200,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,4.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,3.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701226320,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701226440,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701226560,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701226680,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,10.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,1.0
ad921d60486366258809553a3db49a4a,1701226800,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0
10dca4ef6b662d975315d2928b43b99b,1701223200,143.59287961667482,149.0143015633415,174.0221815733821,184.5030137333864,114.26828152005328,121.01026990324802,155.20167922669012,141.1782648799514,175.02152841004622,156.52023966666698,162.51208151661558,161.5076902367097,183.5088012566363,175.33196760331825,170.01337917667115,99.51551786332855,162.80186776663567,146.41452444998626,209.0320074099388,140.01680533673303,160.9843462999561,126.48266699669573,133.0097148399606,177.5499668366198,158.37974328993977,146.02984400999654,159.0238264966562,195.50459135333463,159.1687757600448,67.50320831003287
10dca4ef6b662d975315d2928b43b99b,1701223320,99.51551786332855,149.0143015633415,174.0221815733821,184.5030137333864,114.26828152005328,121.01026990324802,155.20167922669012,141.1782648799514,175.02152841004622,156.52023966666698,162.51208151661558,161.5076902367097,183.5088012566363,175.33196760331825,170.01337917667115,143.59287961667482,162.80186776663567,146.41452444998626,209.0320074099388,140.01680533673303,160.9843462999561,126.48266699669573,133.0097148399606,177.5499668366198,158.37974328993977,146.02984400999654,159.0238264966562,195.50459135333463,159.1687757600448,67.50320831003287
10dca4ef6b662d975315d2928b43b99b,1701223440,99.51551786332855,143.59287961667482,174.0221815733821,184.5030137333864,114.26828152005328,121.01026990324802,155.20167922669012,141.1782648799514,175.02152841004622,156.52023966666698,162.51208151661558,161.5076902367097,183.5088012566363,175.33196760331825,170.01337917667115,149.0143015633415,162.80186776663567,146.41452444998626,209.0320074099388,140.01680533673303,160.9843462999561,126.48266699669573,133.0097148399606,177.5499668366198,158.37974328993977,146.02984400999654,159.0238264966562,195.50459135333463,159.1687757600448,67.50320831003287
10dca4ef6b662d975315d2928b43b99b,1701223560,99.51551786332855,143.59287961667482,149.0143015633415,184.5030137333864,114.26828152005328,121.01026990324802,155.20167922669012,141.1782648799514,175.02152841004622,156.52023966666698,162.51208151661558,161.5076902367097,183.5088012566363,175.33196760331825,170.01337917667115,174.0221815733821,162.80186776663567,146.41452444998626,209.0320074099388,140.01680533673303,160.9843462999561,126.48266699669573,133.0097148399606,177.5499668366198,158.37974328993977,146.02984400999654,159.0238264966562,195.50459135333463,159.1687757600448,67.50320831003287
10dca4ef6b662d975315d2928b43b99b,1701223680,99.51551786332855,143.59287961667482,149.0143015633415,174.0221815733821,114.26828152005328,121.01026990324802,155.20167922669012,141.1782648799514,175.02152841004622,156.52023966666698,162.51208151661558,161.5076902367097,183.5088012566363,175.33196760331825,170.01337917667115,184.5030137333864,162.80186776663567,146.41452444998626,209.0320074099388,140.01680533673303,160.9843462999561,126.48266699669573,133.0097148399606,177.5499668366198,158.37974328993977,146.02984400999654,159.0238264966562,195.50459135333463,159.1687757600448,67.50320831003287
10dca4ef6b662d975315d2928b43b99b,1701223800,99.51551786332855,143.59287961667482,149.0143015633415,174.0221815733821,184.5030137333864,121.01026990324802,155.20167922669012,141.1782648799514,175.02152841004622,156.52023966666698,162.51208151661558,161.5076902367097,183.5088012566363,175.33196760331825,170.01337917667115,114.26828152005328,162.80186776663567,146.41452444998626,209.0320074099388,140.01680533673303,160.9843462999561,126.48266699669573,133.0097148399606,177.5499668366198,158.37974328993977,146.02984400999654,159.0238264966562,195.50459135333463,159.1687757600448,67.50320831003287
10dca4ef6b662d975315d2928b43b99b,1701223920,99.51551786332855,143.59287961667482,149.0143015633415,174.0221815733821,184.5030137333864,114.26828152005328,155.20167922669012,141.1782648799514,175.02152841004622,156.52023966666698,162.51208151661558,161.5076902367097,183.5088012566363,175.33196760331825,170.01337917667115,121.01026990324802,162.80186776663567,146.41452444998626,209.0320074099388,140.01680533673303,160.9843462999561,126.48266699669573,133.0097148399606,177.5499668366198,158.37974328993977,146.02984400999654,159.0238264966562,195.50459135333463,159.1687757600448,67.50320831003287
10dca4ef6b662d975315d2928b43b99b,1701224040,99.51551786332855,143.59287961667482,149.0143015633415,174.0221815733821,184.5030137333864,114.26828152005328,121.01026990324802,141.1782648799514,175.02152841004622,156.52023966666698,162.51208151661558,161.5076902367097,183.5088012566363,175.33196760331825,170.01337917667115,155.20167922669012,162.80186776663567,146.41452444998626,209.0320074099388,140.01680533673303,160.9843462999561,126.48266699669573,133.0097148399606,177.5499668366198,158.37974328993977,146.02984400999654,159.0238264966562,195.50459135333463,159.1687757600448,67.50320831003287
