id,ft
50012,Wrong IP Address-Configuration Errors-Defective Software Changes
51012,Network Traffic
50006,Wrong IP Address-Configuration Errors-Defective Software Changes
51009,Resource Contention-Defective Software Changes
50013,Wrong IP Address-Configuration Errors-Defective Software Changes
50007,Network Traffic
50003,Resource Contention-Defective Software Changes
50011,Start string not found.
50009,Start string not found.
50005,Resource Contention-Defective Software Changes
51011,Resource Contention-Defective Software Changes
50010,Resource Contention-Defective Software Changes
50004,Wrong IP Address-Configuration Errors-Defective Software Changes
50008,Resource Contention-Defective Software Changes
51010,Resource Contention-Defective Software Changes
51013,Resource Contention-Defective Software Changes
