timestamp,"avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-yos-prod-01"", mode=~""idle""}[1m]))","node_load1{hostname=~""bj1-rd-yos-prod-01""}","node_load5{hostname=~""bj1-rd-yos-prod-01""}","node_load15{hostname=~""bj1-rd-yos-prod-01""}","avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-yos-prod-03"", mode=~""idle""}[1m]))","node_load1{hostname=~""bj3-rd-yos-prod-03""}","node_load5{hostname=~""bj3-rd-yos-prod-03""}","node_load15{hostname=~""bj3-rd-yos-prod-03""}","avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-yos-prod-02"", mode=~""idle""}[1m]))","node_load1{hostname=~""bj3-rd-yos-prod-02""}","node_load5{hostname=~""bj3-rd-yos-prod-02""}","node_load15{hostname=~""bj3-rd-yos-prod-02""}","1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""prod"",grpc_code=~""Unknown|OK""}[5m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""prod"",grpc_code!~""Unknown|OK""}[5m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",environment=""prod""}[5m])) or vector(1)","sum(rate(std_grpc_server_handled_total{job=""be/yid"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources"", grpc_code=""Unknown""}[5m]))","sum(rate(std_grpc_server_handled_total{job=""be/yid"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources"", grpc_code=""OK""}[5m]))"
1690975366,0.9661666666467985,0.12,0.16,0.23,0.9306666664779186,0.61,0.58,0.56,0.9570000002781549,0.11,0.13,0.2,1,0,2.64456453701854
1690975486,0.9650000000993411,0.04,0.12,0.21,0.9194999997814497,0.18,0.45,0.51,0.9601666666567326,0.12,0.13,0.2,1,0,2.868284411195411
1690975606,0.970833333581686,0.36,0.2,0.23,0.8975000001490117,0.77,0.49,0.52,0.9466666666169962,0.14,0.13,0.19,1,0,2.766109601244447
1690975726,0.9646666668355466,0.12,0.15,0.21,0.8995000004768372,0.5,0.45,0.49,0.965166666607062,0.07,0.1,0.17,1,0,2.4542606840839687
1690975846,0.9628333332637946,0.12,0.15,0.21,0.8899999998509884,0.37,0.41,0.48,0.9615000002086161,0.19,0.14,0.17,1,0,2.058415521129738
1690975966,0.9528333333631356,0.23,0.16,0.2,0.8753333332637945,0.08,0.3,0.43,0.9533333331346512,0.17,0.18,0.19,1,0,2.1566793621772717
1690976086,0.9706666665772598,0.05,0.12,0.19,0.9431666664779186,0.47,0.37,0.44,0.9648333333432675,0.09,0.16,0.18,1,0,2.2482124503638143
1690976206,0.9595000001291434,0.04,0.1,0.17,0.8734999999403953,0.32,0.36,0.42,0.9595000001291434,0.4,0.28,0.23,1,0,2.3864235569067427
1690976326,0.9676666669547558,0.11,0.09,0.16,0.9404999996225039,0.2,0.29,0.39,0.9694999997814496,0.37,0.27,0.23,1,0,2.3050520664323133
1690976446,0.963999999811252,0.12,0.09,0.14,0.8021666668355465,0.16,0.25,0.36,0.9645000003278256,0.13,0.25,0.23,1,0,1.5178404287055078
1690976566,0.9535000001390775,0.07,0.1,0.14,0.8606666669249535,0.26,0.37,0.4,0.9261666667958101,0.26,0.22,0.22,1,0,1.0808468069559547
1690976686,0.9703333333134652,0.07,0.08,0.13,0.9455000000695388,0.49,0.46,0.43,0.9719999998807908,0.12,0.18,0.21,1,0,1.0334187001343078
1690976806,0.9734999996920426,1.8,0.51,0.27,0.9451666668057441,0.28,0.4,0.41,0.9686666664977869,0.12,0.16,0.2,1,0,1.3084658433808285
1690976926,0.9641666663189729,0.32,0.36,0.24,0.8470000001291433,0.61,0.41,0.41,0.9603333331644535,0.33,0.22,0.22,1,0,1.674571422073804
1690977046,0.9601666666567326,0.15,0.3,0.23,0.8040000004072985,0.24,0.35,0.39,0.9623333332439263,0.38,0.35,0.27,1,0,2.455216728867515
1690977166,0.9676666667064031,0.21,0.25,0.22,0.8745000002284845,0.83,0.55,0.46,0.9684999997417132,0.06,0.24,0.24,1,0,1.9711381541989055
1690977286,0.9171666669348875,0.11,0.19,0.21,0.9066666670143604,1.45,0.73,0.53,0.9306666664779186,0.21,0.25,0.24,1,0,2.269437861105503
1690977406,0.9643333333233992,0.01,0.13,0.18,0.883666666597128,0.4,0.55,0.49,0.9625,0.14,0.27,0.25,1,0,1.9389789141191647
1690977526,0.9653333336114883,0,0.09,0.16,0.9390000000596046,0.2,0.42,0.45,0.9535000003874302,0.28,0.25,0.24,1,0,2.183009973305207
1690977646,0.9581666665772597,0.02,0.07,0.14,0.7179999997218449,0.75,0.47,0.45,0.953166666875283,0.2,0.23,0.23,1,0,2.53787253778138
1690977766,0.9190000000099341,0.11,0.08,0.14,0.8473333328962325,0.61,0.52,0.48,0.9141666663189729,0.25,0.26,0.24,1,0,3.168407418962588
1690977886,0.9553333332141241,0.21,0.18,0.17,0.8778333336114884,0.55,0.56,0.5,0.9674999999503294,0.23,0.29,0.25,1,0,3.85648140963221
1690978006,0.9706666665772596,0.12,0.16,0.16,0.8978333334128062,0.23,0.45,0.47,0.9661666666467985,0.11,0.21,0.23,1,0,2.8711790405775077
1690978126,0.9371666667362053,0.04,0.12,0.14,0.93866666679581,0.64,0.48,0.48,0.9641666665673256,0.05,0.15,0.21,1,0,1.945772801186807
1690978246,0.9671666666865348,0.07,0.12,0.14,0.9341666666169961,0.15,0.35,0.43,0.9625000002483526,0.01,0.1,0.18,1,0,2.480775570551014
1690978366,0.9686666667461395,0.1,0.13,0.14,0.940666666875283,0.23,0.33,0.41,0.9630000000198682,0.01,0.08,0.17,1,0,3.1075862288493097
1690978486,0.9526666668554148,0.21,0.14,0.14,0.9171666666865349,0.49,0.34,0.4,0.9643333333233992,0,0.05,0.14,1,0,3.06347240938985
1690978606,0.974499999731779,0.18,0.17,0.15,0.8974999996523062,0.41,0.36,0.4,0.9706666665772596,0,0.04,0.13,1,0,2.888117254023121
1690978726,0.958833333849907,0.23,0.19,0.15,0.9229999999205272,0.47,0.36,0.4,0.9680000002185504,0,0.03,0.12,1,0,2.9627530034204295
1690978846,0.9598333331445853,0.1,0.16,0.15,0.8813333332538604,2.87,0.9,0.57,0.9706666668256124,0.05,0.03,0.11,1,0,2.4890198333203317
1690978966,0.9619999999801317,0.01,0.11,0.13,0.8863333334525427,0.51,0.65,0.52,0.9706666665772596,0.08,0.05,0.11,1,0,2.4098271770985784
1690979086,0.9630000000198682,0.05,0.1,0.13,0.9438333332538604,0.22,0.48,0.48,0.9695000000298023,0.01,0.03,0.1,1,0,1.8674577654487334
1690979206,0.9741666664679846,0.02,0.08,0.12,0.8916666669150194,0.31,0.44,0.47,0.9718333331247171,0.1,0.05,0.1,1,0,1.4711867394810958
