timestamp,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-aiops-77-54db46dcdc-f4l88"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-aiops-77-54db46dcdc-f4l88"", node=""10.200.64.17"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-aiops-77-54db46dcdc-f4l88"", node=""10.200.64.17"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-aiops-77-54db46dcdc-f4l88"", node=""10.200.64.17"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-aiops-77-54db46dcdc-f4l88"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-aiops-77-54db46dcdc-f4l88"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-aiops-77-54db46dcdc-f4l88"",metrics_path=""/metrics/cadvisor""} [1m]) * 100","(1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",instance=""yid-aiops-77-54db46dcdc-f4l88"",grpc_code=~""Unknown|OK"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-aiops-77-54db46dcdc-f4l88"",biz_code=""6000"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m]) or vector(0))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-aiops-77-54db46dcdc-f4l88"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m])))*100","sum(rate(std_requests_total{job=""be/yid"",code=~""2.."",environment=""rc"", instance=""yid-aiops-77-54db46dcdc-f4l88""}[1m]))","sum(rate(std_requests_total{job=""be/yid"",code=~""4.."",environment=""rc"", instance=""yid-aiops-77-54db46dcdc-f4l88""}[1m]))","sum( increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"", instance=""yid-aiops-77-54db46dcdc-f4l88"", grpc_code=""OK""}[1m]))","sum( increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"", instance=""yid-aiops-77-54db46dcdc-f4l88"", grpc_code=""Unknown""}[1m]))","1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""rc"",instance=""yid-aiops-77-54db46dcdc-f4l88"",grpc_code=~""Unknown|OK""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"",instance=""{1}"",grpc_code!~""Unknown|OK""}[1m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""{2}"",environment=""rc""}[1m])) or vector(1)","1- ((sum(increase(std_requests_total{job=""be/yid"",code=""200"",environment=""rc"", instance=""yid-aiops-77-54db46dcdc-f4l88"", bizcode=""6000""}[1m]) or increase(std_requests_total{job=""be/yid"",environment=""rc"", instance=""yid-aiops-77-54db46dcdc-f4l88"",code=~""5..""}[1m]))  or  vector(0)) /  sum(increase(std_requests_total{job=""be/yid"",instance=""yid-aiops-77-54db46dcdc-f4l88"",environment=""rc""}[1m])))","sum(rate(std_requests_total{job=""be/yid"", code=""200"", instance=""yid-aiops-77-54db46dcdc-f4l88"",method=""GET"",url=~""/api/v1/employee/:empID|/api/v1/employees|/api/v1/dept|/api/v1/depts|/api/v1/team/:teamID|/api/v1/teams|/api/v1/supervisors/:empIDs|/api/v1/dept-tree|/api/v1/emplist""}[1m]))","sum(rate(std_grpc_server_handled_total{job=""be/yid"", grpc_code=""OK"", instance=""yid-aiops-77-54db46dcdc-f4l88"" ,grpc_method=~""GetEmployee|ListEmployee|GetDepartment|ListDepartment|GetTeam|ListTeam|ListSupervisor|IsDeptLeader|GetDepartTree|GetEmployeeDepartTree|ListUserNameByEmpID|ListAuthZTeamsByUserName|ListWeChatDeptIDByDeptID|ListJiesuanBusinessDeptMember|ListAllInternalEmployees|IsEmployeeBelongToDept|ListApproveAuthEmp|ListApproveAuthDept|ListApproveBackupEmp""}[1m]))","sum(rate(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-aiops-77-54db46dcdc-f4l88"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources"", grpc_code=""OK""}[1m]))"
1697184000,247.5234375,2743655.2,2614954.6666666665,2743655.2,16.15292982000028,24.08634627999997,100,0,0.19029787265518666,5125.902223515081,0,1,1,0,0,0.6545097540134175
1697184060,248.7109375,3967331.466666667,3792389.8666666667,3967331.466666667,13.909686975555612,20.170125686666626,100,0,0.2056695714742565,5231.145092595285,0,1,1,0,0,0.6703731430066575
1697184120,251.52734375,5306218.133333334,5198061.6,5306218.133333334,13.08362493333334,25.711287446666425,100,0,0.18052374188011422,4653.58095785058,0,1,1,0,0,0.5995477926488213
1697184180,246.02734375,4858716,4570415.2,4858716,13.572918317777798,27.344205899999757,100,0,0.20033510599548335,5130.399941720696,0,1,1,0,0,0.6556421650761273
1697184240,247.1484375,4234743.733333333,3984109.6,4234743.733333333,17.55501558666664,23.412429246667063,100,0,0.15370789321436767,4831.090332720638,0,1,1,0,0,0.6208176829430727
1697184300,244,3893290.933333333,3675809.6,3893290.933333333,15.163326686666654,35.438791509999795,100,0,0.1993150809038033,4640.449186033101,0,1,1,0,0,0.5942830783815991
1697184360,245.59375,5094219.733333333,4825872,5094219.733333333,17.29395877777784,21.182135333333463,100,0,0.18518518518518517,4735.555555555557,0,1,1,0,0,0.6111111111111112
1697184420,244.546875,3719541.066666667,3518264.8,3719541.066666667,14.946029064444701,20.574688703332715,100,0,0.18167944478761675,5136.441263035501,0,1,1,0,0,0.6540460012354202
1697184480,249.19921875,4290319.733333333,4063353.6,4290319.733333333,16.77325090222237,13.564106343333151,100,0,0.181967063961423,5141.297425166045,0,1,1,0,0,0.6550814302611229
1697184540,246.46484375,5165850.133333334,4905717.333333333,5165850.133333334,10.434325682222152,25.80383528333338,100,0,0.21767128008851966,5133.777140887736,0,1,1,0,0,0.6530138402655591
1697184600,248.91015625,4215013.6,3952100.533333333,4215013.6,18.29643724000006,26.894193213333136,100,0,0.18236860342123504,5135.135135135137,0,1,1,0,0,0.6565269723164461
1697184660,249.5234375,6791278.666666667,6443259.466666667,6791278.666666667,14.883268393332907,24.963248120000117,100,0,0.21825324651704198,5598.195773162126,0,1,1,0,0,0.7275108217234733
1697184720,245.00390625,3778328.2666666666,3587312,3778328.2666666666,19.47410670222224,22.753380543333606,100,0,0.1797546697053904,4612.864333979729,0,1,1,0,0,0.5931904100277883
1697184780,246.73046875,4073376,3744242.4,4073376,23.27540657333328,27.785405123333174,100,0,0.20567898397218115,5276.226881570007,0,1,1,0,0,0.6731312202725929
1697184840,247.55078125,5158210.4,4936408,5158210.4,9.954516384444407,22.068653390000083,100,0,0.18043618802041841,5150.855026685546,0,1,1,0,0,0.6716770141233707
1697184900,245.91015625,6534797.6,6212380.266666667,6534797.6,18.031607368889127,24.11942172333359,100,0,0.2070264779395057,5309.664541481214,0,1,1,0,0,0.6775412005292913
1697184960,245.91015625,2876824.533333333,2745353.3333333335,2876824.533333333,13.615180539999933,24.245494446666573,100,0,0.21791635643852034,5608.077432945321,0,1,1,0,0,0.7082281584251912
1697185020,245.9296875,4837413.6,4520119.2,4837413.6,12.464722577777946,12.52592666333309,100,0,0.18518518518518517,4763.333333333333,0,1,1,0,0,0.6296296296296297
1697185080,245.96484375,3136421.6,3011960.8,3136421.6,14.61917576222226,20.626071433333284,100,0,0.1999018663565159,5136.751049484798,0,1,1,0,0,0.6542242898940519
1697185140,249.3203125,4475223.733333333,4326058.933333334,4475223.733333333,14.624582091110923,18.000492443332707,100,0,0.17979940683740128,4606.460803174221,0,1,1,0,0,0.5753581018796842
1697185200,245.5703125,5171767.733333333,4975023.733333333,5171767.733333333,10.065117259999978,21.619698940000188,100,0,0.21827309602197284,5608.527202284592,0,1,1,0,0,0.7093875620714117
1697185260,247.2109375,4538776.533333333,4290286.933333334,4538776.533333333,14.853672237777573,26.156046243333247,100,0,0.1486434065486634,4665.664041709187,0,1,1,0,0,0.6181613959087847
1697185320,247.65625,2766128.2666666666,2677564.533333333,2766128.2666666666,14.817000315555964,23.009895166666563,100,0,0.20009823004020155,5135.248212758991,0,1,1,0,0,0.6548669346770233
1697185380,247.234375,4460122.666666667,4275525.6,4460122.666666667,16.37559065555555,26.1098728633336,100,0,0.19961166457981744,5136.915455386792,0,1,1,0,0,0.6532745386248571
1697185440,247.8203125,4028038.933333333,3701065.3333333335,4028038.933333333,16.50251295999927,18.62220926333369,100,0,0.21897410631192862,5615.590956369409,0,1,1,0,0,0.7116658455137679
1697185500,250.57421875,3981831.2,3685652.8,3981831.2,16.05547140444388,27.10868107333378,100,0,0.19998545560322883,5145.44396771144,0,1,1,0,0,0.672678350665406
1697185560,248.59375,4519986.133333334,4338582.933333334,4519986.133333334,16.09666792222217,19.38506109000021,100,0,0.18191009653526405,4646.7337880090945,0,1,1,0,0,0.596483874121927
1697185620,247.70703125,4440636.266666667,4113227.7333333334,4440636.266666667,15.469419473333296,19.195396893333054,100,0,0.2002184200946487,5137.2406261376045,0,1,1,0,0,0.6552602839461231
1697185680,246.9296875,4094393.8666666667,3818088.2666666666,4094393.8666666667,21.316305186666998,22.0006963633341,100,0,0.19954286543554767,5146.029096977832,0,1,1,0,0,0.653049377789065
